#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
UniRef90_P07131        -          T0990                -           3.7e-238  803.1   4.1  4.1e-238  803.0   4.1   1.0   1   0   0   1   1   1   1 -
UniRef90_A0A142DXW2    -          T0990                -           1.1e-235  795.0   4.5  1.2e-235  794.8   4.5   1.0   1   0   0   1   1   1   1 -
UniRef90_D1GA90        -          T0990                -           3.2e-234  790.1   2.7  3.6e-234  790.0   2.7   1.0   1   0   0   1   1   1   1 -
UniRef90_A0A1I9KZH3    -          T0990                -           1.8e-233  787.7   7.6    2e-233  787.5   7.6   1.0   1   0   0   1   1   1   1 -
UniRef90_A0A1J0F5H1    -          T0990                -           1.7e-231  781.2   8.9  1.9e-231  781.0   8.9   1.0   1   0   0   1   1   1   1 -
UniRef90_G8H3D9        -          T0990                -           1.7e-231  781.1   4.1  1.9e-231  781.0   4.1   1.0   1   0   0   1   1   1   1 -
UniRef90_B6SE82        -          T0990                -             1e-228  771.9   8.0  1.2e-228  771.8   8.0   1.0   1   0   0   1   1   1   1 -
UniRef90_U5YJ79        -          T0990                -           1.8e-209  708.5   7.8  2.1e-209  708.2   7.8   1.0   1   0   0   1   1   1   1 -
UniRef90_U5YIG0        -          T0990                -             2e-209  708.3   8.0  2.3e-209  708.1   8.0   1.0   1   0   0   1   1   1   1 -
UniRef90_U5YIF4        -          T0990                -             3e-208  704.4   7.5  3.6e-208  704.1   7.5   1.0   1   0   0   1   1   1   1 -
UniRef90_H9ZXS6        -          T0990                -             1e-207  702.6   1.7  1.2e-207  702.5   1.7   1.0   1   0   0   1   1   1   1 -
UniRef90_U5YJ76        -          T0990                -           3.5e-207  700.9   8.2  4.2e-207  700.6   8.2   1.0   1   0   0   1   1   1   1 -
UniRef90_U5YL47        -          T0990                -             4e-207  700.7   8.2  4.8e-207  700.4   8.2   1.0   1   0   0   1   1   1   1 -
UniRef90_U5YIF7        -          T0990                -           6.4e-207  700.0   8.2  7.7e-207  699.8   8.2   1.0   1   0   0   1   1   1   1 -
UniRef90_P27585        -          T0990                -           3.5e-206  697.6  10.0  3.9e-206  697.4  10.0   1.0   1   0   0   1   1   1   1 -
UniRef90_A0A0A0REB4    -          T0990                -           2.4e-202  685.0   7.4  2.7e-202  684.8   7.4   1.0   1   0   0   1   1   1   1 -
